land: E. Hugentobler-Bowden, 20, Sihlstrasse, Zurich, mens;424,1653,1001,52
and youths' clothing), 69—73, Cannon Street, London E. C. 4.;427,1692,1006,59
Cloth Manufacturers;359,1741,378,74
Reuben Gaunt & Sons, Ltd. (indigo and black worsted serges,;389,1785,1044,82
fine and medium qualities, weight: 9 ozs. to 24 ozs.), Broom;424,1849,1009,64
Mills, Farsley, Leeds.;423,1879,355,72
Coal Shippers;358,1928,263,89
Coal Supply Co., Ltd., 13, Wallstrasse, Basle,;389,1990,750,76
J. Hirter & Co., 3, Gurtengasse, Berne.;389,2043,657,77
Cocoa Manufacturers;354,2105,390,85
Chocolats de Villars, S. A., Fribourg.;389,2152,610,94
Nestlé and Anglo-Swiss Condensed Milk Co., Vevey.;366,403,876,96
Peter, Cailler, Kohler, La Tour-de-Peilz.;365,479,662,59
Suchard, S. A., Neuchâtel.;371,526,434,69
Coffee making machines;340,581,444,68
W. M. Still & Sons, Ltd., 29—31, Charles Street, Hatton Garden;379,592,1033,104
London.;409,670,138,65
Coke Merchants;339,710,300,71
Coal Supply Co., Ltd., 13, Wallstrasse, Basle.;377,744,748,82
J. Hirter & Co., 3, Gurtengasse, Berne.;379,817,650,71
Colonial Produce Importers;343,865,501,71
O. Jæger, 30, Bahnhofstrasse, Zurich.;377,917,611,71
Volkart Brothers, Winterthur.;379,966,483,48
Winandy & Co., 16, Rue de Bourg, Lausanne.;381,1004,755,69
Colour Manufacturers;349,1065,390,83
Blundell, Spence & Co., Ltd., Hull.;377,1112,585,69
Durand & Huguenin A.-G., Basle.;377,1170,566,53
Jenson & Nicolson, Ltd., Goswell Works, Stratford, London E. 15.;384,1194,1045,96
Comb Manufacturers;345,1270,384,73
Deprez & Co., Nyon.;379,1330,363,73
Combustion Engines;347,1384,378,80
Fabrique d'Automobiles "Berna" S. A., Olten.;381,1410,754,95
Condensed Milk;345,1492,302,78
Nestlé & Anglo-Swiss Condensed Milk Co., Vevey.;377,1526,852,99
Confectioners;349,1607,258,83
Huguenin, Gattiker & Co., 39, Bahnhofstrasse, Zurich.;377,1639,898,108
Consultants (Transport);351,1729,428,66
Crowe & Co. Ltd., 9, Lange Gasse, Basle.;383,1777,707,83
Contact Clocks (Electric);351,1833,456,79
Fr. Sauter A.-G., Basle.;387,1901,392,77
Cooking Appliances;353,1959,369,72
"Meta" S. A., Aeschenvorstadt, Basle.;395,1996,617,96
Cooking Plants (Steam);353,2066,435,89
"Calorie" S. A., 5/7, rue de l'Est, Geneva.;399,2110,693,67
Sulzer Frères S. A., Winterthur.;387,2173,531,78
