transcription	company_pattern_match	company_pattern_item	company_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	address_list_match	address_list_item	address_list_result	year	page	range_definition	address_pattern_match	address_pattern_item	address_pattern_result	address_best_match	address_best_match_type	address_best_match_strategy
56 TYRE MANUFACTURERS Manchester Chas. Macintos & Co., Ltd. Cambridge Street Edinburgh North British Rubber Co., Ltd. UNDERWAR MANUFACTURERS Laufenburg Buser & Keiser & Co. (Knitted and woven, ladies, children's and men's) Hanro Knitting Works, Handschin & Ronus, Liestal Ltd. (Swiss ribbed underwear for ladies and children)	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	56 TYRE MANUFACTURERS Manchester Chas. Macintos & Co.	True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Knitted and woven, ladies, children's and men's) Hanro Knitting Works, Handschin & Ronus, Liestal Ltd. (Swiss ribbed underwear for ladies and children)	True	Cambridge Street	Cambridge Street	1922	66	index						
Murgenthal His & Co., A.-G. Satenwil (Aargau) Hochuli & Co. Zurich W. Hollins & Co., Ltd. 31, Bahnhofstrasse (Manufacturers of Pomada." Vivella underwear for ladies, men and children, Zofingen Ruegger & Co. (Knitted and woven, ladies, children's and men's) Swan Knitting Works, Ryff & Co., Ltd. Berne 3. Sandrainstrasse (Ladies and children s fine ribbed, knitted underwear, cotton, wool, silk and mixed) UNDERWAR MERCHANTS Leicester Sedgley & Lighting. Ltd. 33. Bowling Green Street UPHOLSTERY TRADE (TEXTILES FOR) Basse Rod. Brenner & Co. VARNISH MANUFACTURERS Hull Blundell, Spence & Co., Ltd. London, E. 15 Jenson & Nicholson, Ltd. Goswell Works, Strat¬ ford Altstetten/ Zurich Standard Lack- & Farbenwerke VEHICLES (COMMERCIAL) Olten Fabrique d'Automobiles Berna", S. A. Arbon Adolphe Saurer, S. A. VEIL MANUFACTURERS Nottingham Thomas Adams, Ltd. Nottingham A. C. Pearse & Co., Ltd. 14. Pilcher Gate	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Murgenthal His & Co.	True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Aargau)	True	Goswell Works	Goswell Works	1922	66	index	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	31, Bahnhofstrasse	31, Bahnhofstrasse	pattern	longest_match
