transcription	year	page	range_definition	company_found	company	location_found	location	address_found	address
Address Trade and Name	1921	53	index						
Junod Frères	1921	53	index	True	Junod Frères				
Place St. François Lausanne	1921	53	index			True	Lausanne		
Mappin & Webb Ltd.	1921	53	index	True	Mappin & Webb Ltd.				
Galerie St. François Lausanne	1921	53	index			True	Lausanne		
Ulysse Nardin	1921	53	index						
Le Locle	1921	53	index						
Record Dreadnought Watch Co.	1921	53	index	True	Record Dreadnought Watch Co.				
Rue du Parc 151 La Chaux de Fonds	1921	53	index						
R. Schmid & Co. Cassardes Watch Co.	1921	53	index	True	R. Schmid & Co.				
Neuchâtel	1921	53	index						
Wuilleumier, Hasler & Co. Stika Watch Co.	1921	53	index	True	Wuilleumier, Hasler & Co.				
Tramelan	1921	53	index						
WATCH MERCHANTS	1921	53	index						
Bornand Frères & Co.	1921	53	index	True	Bornand Frères & Co.				
170, Bishopsgate London, E. C. 2.	1921	53	index					True	170, Bishopsgate London
WATCH PART MANUFACTURERS	1921	53	index						
The Dennison Watch Case Co., Ltd.	1921	53	index	True	The Dennison Watch Case Co., Ltd.				
Villaroad,Handsworth, Birmingham	1921	53	index			True	Birmingham		
WATERPROOF MERCHANTS	1921	53	index						
J. Rupert Heywood Agent for „Aquatite „Featherweight" etc.	1921	53	index			True	Heywood		
Usteristrasse 1 Zürich	1921	53	index			True	Zürich		
Frank V. Rolls Agent for Burberrys	1921	53	index						
Rue de la Confédé¬ ration 10 Genève	1921	53	index						
WERBINGS, ELASTIC	1921	53	index						
C. F. Bally A. G.	1921	53	index	True	C. F. Bally A. G				
Schönenwerd	1921	53	index						
WELDING APPARATUS	1921	53	index						
The Quasi-Arc Co., Ltd.	1921	53	index	True	The Quasi-Arc Co., Ltd.				
3, Laurence Pountney Hill London, E. C. 3.	1921	53	index						
WELDING GASES	1921	53	index						
Sauerstoff- und Wasserstoff-Werke	1921	53	index						
Luzern	1921	53	index						
WHEEL MANUFACTURERS	1921	53	index						
Société Anonyme des Aciéries ci-devant Georges Fischer Steel road wheels	1921	53	index						
Schaffhausen	1921	53	index						
