transcription	year	page	range_definition	location_found	location	company_found	company	address_found	address
Address Trade and Name	1921	12	index						
J. G. Hallett Food-stuffs	1921	12	index						
Avenue de Rumine 55 Lausanne	1921	12	index	True	Lausanne				
Howes, Williams & Co., Ltd. Ribbons	1921	12	index			True	Howes, Williams & Co., Ltd.		
3/5, Monkwell Street London, E. C. 2	1921	12	index					True	3/5, Monkwell Street London
Jan & Cie Cycles	1921	12	index						
Terreaux 10 Lausanne	1921	12	index	True	Lausanne				
W. Marti	1921	12	index						
Place des Orphelins 2 Berne	1921	12	index	True	Berne				
Merkle & Cie Cotton	1921	12	index						
Rittergasse 35 Basel	1921	12	index	True	Basel				
Hans Muller	1921	12	index						
Ilgenstrasse 23, St-Gall	1921	12	index						
Philippi & Hermann Silk Ribbons and Textiles	1921	12	index						
Basel	1921	12	index	True	Basel				
Fr. Schenkel-Wyss Raw and semi-finished material for metal trade	1921	12	index						
Huttenstrasse 60 Zürich	1921	12	index	True	Zürich				
Sedgley & Lighting Ltd. Textiles	1921	12	index			True	Sedgley & Lighting Ltd.		
Newcastle Chambers Angel Row Nottingham	1921	12	index	True	Nottingham				
G. P. Skipworth Machinery, Timber and Plywood	1921	12	index						
Gutenbergstrasse 1 Bern	1921	12	index	True	Bern				
The Textile Trading Co Cotton and Woollen Textiles	1921	12	index						
Basel	1921	12	index	True	Basel				
W. A. Wallinger General	1921	12	index						
Place argonnant 3 Eaux-Vives, Genève	1921	12	index						
Wildberger Silk Goods	1921	12	index						
Glärnischstrasse 35 Zürich	1921	12	index	True	Zürich				
Lucien Wyler Woollen and Cotton piece goods	1921	12	index						
Avenue de la Nouvelle Gare 175 Solothurn	1921	12	index	True	Solothurn				
ALKALOID MANUFACTURERS	1921	12	index						
Usines de l'Allondon	1921	12	index						
Rue Lombard 4 Genève	1921	12	index						
ALUMINIUM MANUFACTURERS	1921	12	index						
Giuliniwerke A. G. Raw and semi-finished, calcined and Alumina sulphate	1921	12	index			True	Giuliniwerke A. G		
Basel	1921	12	index	True	Basel				
Rolling & Drawing Mills Ltd. Raw and semi-finished	1921	12	index			True	Rolling & Drawing Mills Ltd.		
Münchenstein Basel	1921	12	index	True	Basel				
